Okres,Kraj,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11
Šumperk,Olomoucký kraj,-,0,1,0,3,1,0,3,4,0,8,3,3,4,1,6,4,1,1,0,0,0,0,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,3,4,0,4,2,0,0,0,1,0,2,0,0,2,1
Jeseník,Olomoucký kraj,-,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,3,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pardubice,Pardubický kraj,-,2,3,4,2,5,15,6,4,17,4,7,0,4,11,3,8,2,1,1,0,4,6,1,2,0,1,0,0,5,0,2,0,0,1,0,1,0,0,0,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,2,2,0,0,0,0,0,1,0,0,3,0,0,0,0,1,4,1,0,0,5,4,10,5,3,0,0,3,3
Chrudim,Pardubický kraj,-,4,0,4,1,2,5,5,3,9,5,4,0,2,5,2,0,2,0,0,1,0,0,0,2,2,0,0,0,0,2,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,1,0,0,1,1,0,0,8,2,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,4,0,2,2,0,0,0,1,1,1,1,0,0,0,4
Svitavy,Pardubický kraj,-,0,0,0,0,0,2,1,1,0,2,0,0,0,0,0,0,2,0,5,0,5,1,1,0,0,0,0,0,0,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,3,1,2,2,0,0,8,4,6,1,1,0,0,2,1,0,0,0,0,0,0,0
Ústí nad Orlicí,Pardubický kraj,-,0,1,0,0,0,2,1,2,0,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,2,0,0,4,6,0,0,11,5,4,3,3,0,0,5,0,6,5,1,0,0,1,1
Tachov,Plzeňský kraj,-,6,0,1,0,1,0,2,1,0,0,0,0,6,0,2,0,1,8,2,0,1,1,1,1,0,0,2,2,0,0,1,0,0,1,-1,2,0,0,0,0,1,4,0,0,3,1,-4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
Plzeň-sever,Plzeňský kraj,-,2,0,0,0,1,1,1,1,2,0,0,0,2,0,1,0,0,1,0,0,1,-1,0,0,0,0,2,4,0,2,-1,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,3,1,0,0,0,0,3
Plzeň-město,Plzeňský kraj,-,3,0,4,0,2,2,0,4,9,5,0,0,1,0,6,0,1,2,0,0,9,1,0,0,0,0,2,1,1,0,0,0,0,4,-4,6,0,1,0,0,0,2,0,0,3,1,-4,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,2,1,0,0,0,0,0,1,0,-1,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,2,0,1,0,7,0,0,1,1,1,4,0,0,6,0,2,5,5,0,0,0,12,7
Rokycany,Plzeňský kraj,-,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,-1,0,0,0,1,0,0,1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0
Plzeň-jih,Plzeňský kraj,-,0,0,1,1,0,0,0,0,4,1,0,0,2,0,2,1,0,1,0,0,0,2,0,0,0,1,0,4,0,2,3,1,0,5,-5,6,2,0,0,0,0,2,0,0,1,0,-1,3,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,-1,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,2,1,0,0,0,0,3,1
Domažlice,Plzeňský kraj,-,11,0,3,0,4,14,17,3,43,44,46,0,4,1,-1,19,12,15,5,0,7,12,8,10,0,19,1,1,0,5,3,1,0,0,0,0,0,14,0,0,0,-4,0,0,2,1,-3,4,0,0,4,3,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1
Klatovy,Plzeňský kraj,-,4,0,0,0,4,0,2,1,4,0,7,0,9,2,5,8,1,5,7,0,8,3,1,1,0,9,1,0,0,0,0,0,0,-2,2,0,3,0,0,0,0,0,0,0,1,0,-1,1,0,0,0,3,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,2,0,0,3,1,1,1,0,0,0,0,0,0,2,0,0,0,28,2
Praha,Praha,-,61,67,42,35,38,34,33,53,92,99,54,33,55,37,51,48,67,24,18,18,26,34,21,21,17,28,38,11,15,7,9,8,6,6,6,8,9,7,8,4,20,10,13,15,22,6,11,9,20,6,20,14,22,10,10,19,8,9,10,3,0,5,7,10,10,9,11,12,9,20,14,10,4,5,4,14,10,11,12,9,21,19,9,17,8,15,18,9,7,9,23,13,13,8,11,3,7,10,10,11,10,9,4,10,13,7,16,7,11,3,12,15,17,18,12,23,16,23,42,52,38,35,52,32,101,44,47,63,46,46,31,51,54,55,41,56,47,35,46
Rakovník,Středočeský kraj,-,0,0,0,1,1,2,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,2,0
Kladno,Středočeský kraj,-,1,0,0,15,5,1,1,3,5,5,0,2,4,2,6,4,2,1,4,1,1,2,2,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,2,1,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,4,2,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,2,2,4,0,0,4,1,3,8,6,0,0,3,2,2,3,2,0,0,12,3
Mělník,Středočeský kraj,-,0,0,0,3,0,0,6,2,2,2,10,0,3,1,2,2,2,2,0,0,0,2,1,0,0,3,1,1,1,0,0,1,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,2,1,7,18,0,0,0,2,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,1,2,12,3,0,0,0,6,3,3,2,0,0,7,3,4,0,5,0,0,4,0,0,4,0,0,0,9,0
Mladá Boleslav,Středočeský kraj,-,3,0,0,1,1,4,0,7,1,0,3,2,2,5,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,1,0,4,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,2,1,3,5,5,0,0,5,5,2,1,6,0,0,7,4
Nymburk,Středočeský kraj,-,2,0,0,5,1,0,2,2,0,2,5,1,3,3,3,1,0,1,0,0,0,0,1,1,0,0,1,2,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,2,1,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,2,0,0,0,0,1,1,0,0,0,0,0,2,1,0,1,1,0,0,2,0,0,2,0,0,0,0,0,6,4,1,0,0,10,9,6,6,1,0,0,8,0,0,1,2,0,0,9,4
Kolín,Středočeský kraj,-,4,0,0,3,0,1,2,0,0,7,5,3,0,3,0,1,2,2,2,1,1,0,1,0,0,0,1,2,0,1,0,4,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,1,3,0,1,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,4,0,1,1,1,0,0,11,0,2,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,4,0,2,2,2,0,0,5,1,5,5,7,0,0,9,3
Kutná Hora,Středočeský kraj,-,1,0,0,0,0,0,0,0,0,1,2,1,1,1,4,0,2,0,1,0,0,2,1,2,1,2,1,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,18,6,1,7,10,0,0,3,4,0,2,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,8,2,0,0,3,1
Benešov,Středočeský kraj,-,1,0,0,6,1,1,3,5,0,5,1,5,2,4,8,2,6,1,2,2,0,0,2,2,0,0,1,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,-2,0,0,0,0,0,0,0,1,-1,1,0,0,0,1,0,1,1,0,0,0,0,-2,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,2,0,0,6,0,1,2,2,0,0,5,3,0,1,-1,0,0,8,3
Příbram,Středočeský kraj,-,2,0,0,2,6,0,4,1,0,0,1,1,4,1,0,1,0,0,2,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,1,0,3,0,0,1,0,7,0,9,0,0,5,5
Beroun,Středočeský kraj,-,0,0,0,5,0,3,3,1,1,2,0,2,5,1,4,0,0,1,2,0,3,2,8,0,0,0,2,0,2,3,0,0,1,6,7,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,0,0,2,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,8,1,2,3,0,0,9,1,3,3,3,0,0,3,2,2,0,2,0,0,4,1
Praha-západ,Středočeský kraj,-,4,0,0,3,0,18,5,5,4,3,0,5,1,0,2,12,0,2,0,11,4,5,5,1,1,0,5,3,2,3,0,2,0,2,3,3,0,1,0,2,0,0,3,0,1,0,0,0,1,3,3,5,0,1,1,0,0,2,0,0,1,0,1,2,0,0,0,1,0,0,3,0,3,0,3,0,3,3,0,0,1,5,1,1,1,2,0,0,2,2,3,1,0,0,0,1,2,0,0,3,0,0,4,2,0,2,1,0,0,3,3,2,5,2,0,0,0,9,8,9,5,0,0,13,1,15,7,9,0,0,7,7,1,7,0,0,0,8,4
Praha-východ,Středočeský kraj,-,7,0,0,18,0,3,11,4,7,2,6,3,5,5,10,3,0,8,1,1,7,5,4,0,3,5,2,3,4,4,0,0,1,0,0,1,0,1,2,1,0,0,5,0,0,1,0,0,2,0,2,1,1,0,4,2,0,2,0,0,3,-1,0,1,0,0,0,1,1,0,0,0,2,0,-2,0,2,6,6,4,2,2,1,3,1,1,0,0,0,0,5,2,0,0,0,6,3,1,2,4,0,0,5,0,0,0,6,0,0,6,0,1,3,2,0,0,0,15,5,4,7,0,0,12,14,5,5,12,0,0,4,8,6,2,4,0,0,23,7
Děčín,Ústecký kraj,-,0,1,0,0,4,2,2,6,0,1,0,1,1,0,0,2,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
Chomutov,Ústecký kraj,-,0,3,0,3,0,0,3,0,0,1,0,0,3,0,0,0,1,0,0,0,0,0,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,4,2,0,1,18,0,1
Most,Ústecký kraj,-,0,2,1,2,1,1,0,4,0,0,1,0,1,0,1,0,3,1,0,0,1,0,0,0,0,0,3,0,0,2,0,2,0,1,4,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3,1,1,2,0,0,0,1,0,4,0,0,1,1,0,1,3,0,0,1,0
Litoměřice,Ústecký kraj,-,1,6,4,3,17,40,4,10,0,18,2,12,9,7,4,0,20,11,0,2,9,0,0,15,0,14,2,10,1,6,1,2,0,1,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,0,1,0,4,1,4,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,4,2,3,0,2,3,0,2,2,1,0,1,6,0,2,5,0,0,2,3
Louny,Ústecký kraj,-,1,1,1,0,3,1,2,1,0,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,2,0,0,2,2,0,0,1,5,0,0
Teplice,Ústecký kraj,-,1,0,0,0,2,10,0,0,0,1,0,0,0,0,15,0,0,6,1,0,0,0,0,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,1,2,2,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,2,0,1,0,1,2,0,2,0,1,0,0,0,0,0,2,0,0,0,0,1
Ústí nad Labem,Ústecký kraj,-,5,4,0,0,0,9,0,1,0,23,5,0,0,6,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,2,7,0,0,0,1,0,0,2,0,1,0,0,0,0,0
Kroměříž,Zlínský kraj,-,0,0,1,0,1,0,1,1,3,1,0,0,2,2,1,0,0,0,0,0,1,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,1,-1,0,0,1,1,0,0,0,3,1,1,3,7,1,0,0,1,0,0,0,2
Uherské Hradiště,Zlínský kraj,-,1,9,2,15,4,3,14,2,9,1,1,1,0,11,4,2,2,4,0,0,1,0,2,0,0,0,0,0,2,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-1,0,0,0,1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1,0,1,5,3,9,2,4,0,12,0,6,2,1,2,5,1,2,0,1,3,2,0,3,2,5,1,1,4,1,1,0
Vsetín,Zlínský kraj,-,0,0,0,0,0,0,2,2,7,5,0,1,3,5,3,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,2,0,0,0,6,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,1,0,2,0,1,2,0,2
Zlín,Zlínský kraj,-,1,2,2,2,0,0,1,0,9,2,0,0,2,2,4,4,6,2,0,2,0,1,1,9,5,4,6,2,15,3,1,2,0,1,1,0,0,0,0,0,0,3,1,1,0,1,0,1,0,1,0,0,0,1,0,0,6,0,0,5,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,2,4,2,2,0,0,6,3,4,5,1,2,0,1,1,1,2,3,1,0,3
